scientific,xc_common,bn_code,bn_common,bn_mapping_in_xc_dataset,relationship,ibp_alpha
alca-torda,razorbill,razorb,razorbill,alca-torda,,RAZO
fratercula-arctica,atlanticpuffin,atlpuf,atlanticpuffin,fratercula-arctica,,ATPU
rissa-tridactyla,blackleggedkittiwake,bklkit,blackleggedkittiwake,rissa-tridactyla,,BLKI
chroicocephalus-philadelphia,bonapartesgull,bongul,bonapartesgull,chroicocephalus-philadelphia,,BOGU
leucophaeus-atricilla,laughinggull,laugul,laughinggull,leucophaeus-atricilla,,LAGU
leucophaeus-pipixcan,franklinsgull,fragul,franklinsgull,leucophaeus-pipixcan,,FRGU
larus-heermanni,heermannsgull,heegul,heermannsgull,larus-heermanni,,HEEG
larus-canus,mewgull,mewgul,mewgull,larus-canus,,MEGU
larus-delawarensis,ringbilledgull,ribgul,ringbilledgull,larus-delawarensis,,RBGU
larus-californicus,californiagull,calgul,californiagull,larus-californicus,,CAGU
larus-fuscus,lesserblackbackedgull,lbbgul,lesserblackbackedgull,larus-fuscus,,LBBG
larus-glaucescens,glaucouswingedgull,glwgul,glaucouswingedgull,larus-glaucescens,,GWGU
larus-hyperboreus,glaucousgull,glagul,glaucousgull,larus-hyperboreus,,GLGU
larus-marinus,greatblackbackedgull,gbbgul,greatblackbackedgull,larus-marinus,,GBBG
gygis-alba,whitetern,whiter,whitetern,gygis-alba,,WHTT
sternula-antillarum,leasttern,leater1,leasttern,sternula-antillarum,,LETE
gelochelidon-nilotica,gullbilledtern,gubter1,gullbilledtern,gelochelidon-nilotica,,GBTE
hydroprogne-caspia,caspiantern,caster1,caspiantern,hydroprogne-caspia,,CATE
chlidonias-niger,blacktern,blkter,blacktern,chlidonias-niger,,BLTE
sterna-dougallii,roseatetern,roster,roseatetern,sterna-dougallii,,ROST
sterna-hirundo,commontern,comter,commontern,sterna-hirundo,,COTE
sterna-paradisaea,arctictern,arcter,arctictern,sterna-paradisaea,,ARTE
sterna-forsteri,forsterstern,forter,forsterstern,sterna-forsteri,,FOTE
thalasseus-maximus,royaltern,royter1,royaltern,thalasseus-maximus,,ROYT
thalasseus-sandvicensis,sandwichtern,santer1,sandwichtern,thalasseus-sandvicensis,,SATE
thalasseus-elegans,eleganttern,eleter1,eleganttern,thalasseus-elegans,,ELTE
rynchops-niger,blackskimmer,blkski,blackskimmer,rynchops-niger,,BLSK
gavia-stellata,redthroatedloon,retloo,redthroatedloon,gavia-stellata,,RTLO
gavia-arctica,blackthroatedloon,arcloo,arcticloon,gavia-arctica,"Same species, different common name",ARLO
gavia-immer,commonloon,comloo,commonloon,gavia-immer,,COLO
phoebastria-immutabilis,laysanalbatross,layalb,laysanalbatross,phoebastria-immutabilis,,LAAL
phoebastria-nigripes,blackfootedalbatross,bkfalb,blackfootedalbatross,phoebastria-nigripes,,BFAL
fulmarus-glacialis,northernfulmar,norful,northernfulmar,fulmarus-glacialis,,NOFU
puffinus-puffinus,manxshearwater,manshe,manxshearwater,puffinus-puffinus,,MASH
morus-bassanus,northerngannet,norgan,northerngannet,morus-bassanus,,NOGA
phalacrocorax-brasilianus,neotropiccormorant,neocor,neotropiccormorant,phalacrocorax-brasilianus,,NECO
phalacrocorax-auritus,doublecrestedcormorant,doccor,doublecrestedcormorant,phalacrocorax-auritus,,DCCO
phalacrocorax-carbo,greatcormorant,grecor,greatcormorant,phalacrocorax-carbo,,GRCO
phalacrocorax-pelagicus,pelagiccormorant,pelcor,pelagiccormorant,phalacrocorax-pelagicus,,PECO
botaurus-lentiginosus,americanbittern,amebit,americanbittern,botaurus-lentiginosus,,AMBI
ixobrychus-exilis,leastbittern,leabit,leastbittern,ixobrychus-exilis,,LEBI
ardea-herodias,greatblueheron,grbher3,greatblueheron,ardea-herodias,,GBHE
ardea-alba,greategret,greegr,greategret,ardea-alba,,GREG
bubulcus-ibis,westerncattleegret,categr,cattleegret,bubulcus-ibis,XC split with only one species in the ABA area; BirdNet's name for the complex (bubulcus-ibis) refers to the XC species INSIDE the ABA area,CAEG
nycticorax-nycticorax,blackcrownednightheron,bcnher,blackcrownednightheron,nycticorax-nycticorax,,BCNH
plegadis-chihi,whitefacedibis,whfibi,whitefacedibis,plegadis-chihi,,WFIB
pandion-haliaetus,westernosprey,osprey,osprey,pandion-haliaetus,XC split with only one species in the ABA area; BirdNet's name for the complex (pandion-haliaetus) refers to the XC species INSIDE the ABA area,OSPR
elanoides-forficatus,swallowtailedkite,swtkit,swallowtailedkite,elanoides-forficatus,,STKI
aquila-chrysaetos,goldeneagle,goleag,goldeneagle,aquila-chrysaetos,,GOEA
accipiter-cooperii,coopershawk,coohaw,coopershawk,accipiter-cooperii,,COHA
accipiter-gentilis,northerngoshawk,norgos,northerngoshawk,accipiter-gentilis,,NOGO
rostrhamus-sociabilis,snailkite,snakit,snailkite,rostrhamus-sociabilis,,SNKI
buteo-plagiatus,grayhawk,gryhaw2,grayhawk,buteo-plagiatus,,GRHA
buteo-lineatus,redshoulderedhawk,reshaw,redshoulderedhawk,buteo-lineatus,,RSHA
buteo-platypterus,broadwingedhawk,brwhaw,broadwingedhawk,buteo-platypterus,,BWHA
buteo-jamaicensis,redtailedhawk,rethaw,redtailedhawk,buteo-jamaicensis,,RTHA
tyto-furcata,americanbarnowl,,,,XC split with only one species in the ABA area; BirdNet's scientific name for the complex (tyto-alba) refers to the XC species outside the ABA area,
psiloscops-flammeolus,flammulatedowl,flaowl,flammulatedowl,psiloscops-flammeolus,,FLOW
megascops-kennicottii,westernscreechowl,wesowl1,westernscreechowl,megascops-kennicottii,,WESO
megascops-asio,easternscreechowl,easowl1,easternscreechowl,megascops-asio,,EASO
megascops-trichopsis,whiskeredscreechowl,whsowl1,whiskeredscreechowl,megascops-trichopsis,,WHSO
bubo-virginianus,greathornedowl,grhowl,greathornedowl,bubo-virginianus,,GHOW
glaucidium-californicum,northernpygmyowl,,,,XC split with only one species in the ABA area; BirdNet's name for the complex (glaucidium-gnoma) refers to the XC species outside the ABA area,
micrathene-whitneyi,elfowl,elfowl,elfowl,micrathene-whitneyi,,ELOW
athene-cunicularia,burrowingowl,burowl,burrowingowl,athene-cunicularia,,BUOW
strix-occidentalis,spottedowl,spoowl,spottedowl,strix-occidentalis,,SPOW
strix-varia,barredowl,brdowl,barredowl,strix-varia,,BADO
strix-nebulosa,greatgrayowl,grgowl,greatgrayowl,strix-nebulosa,,GGOW
asio-otus,longearedowl,loeowl,longearedowl,asio-otus,,LEOW
asio-flammeus,shortearedowl,sheowl,shortearedowl,asio-flammeus,,SEOW
aegolius-funereus,borealowl,borowl,borealowl,aegolius-funereus,,BOOW
aegolius-acadicus,northernsawwhetowl,nswowl,northernsawwhetowl,aegolius-acadicus,,NSWO
trogon-elegans,eleganttrogon,eletro,eleganttrogon,trogon-elegans,,ELTR
megaceryle-torquata,ringedkingfisher,rinkin1,ringedkingfisher,megaceryle-torquata,,RIKI
megaceryle-alcyon,beltedkingfisher,belkin1,beltedkingfisher,megaceryle-alcyon,,BEKI
chloroceryle-americana,greenkingfisher,grnkin,greenkingfisher,chloroceryle-americana,,GKIN
melanerpes-erythrocephalus,redheadedwoodpecker,rehwoo,redheadedwoodpecker,melanerpes-erythrocephalus,,RHWO
melanerpes-formicivorus,acornwoodpecker,acowoo,acornwoodpecker,melanerpes-formicivorus,,ACWO
melanerpes-uropygialis,gilawoodpecker,gilwoo,gilawoodpecker,melanerpes-uropygialis,,GIWO
melanerpes-carolinus,redbelliedwoodpecker,rebwoo,redbelliedwoodpecker,melanerpes-carolinus,,RBWO
sphyrapicus-thyroideus,williamsonssapsucker,wilsap,williamsonssapsucker,sphyrapicus-thyroideus,,WISA
sphyrapicus-varius,yellowbelliedsapsucker,yebsap,yellowbelliedsapsucker,sphyrapicus-varius,,YBSA
sphyrapicus-nuchalis,rednapedsapsucker,rensap,rednapedsapsucker,sphyrapicus-nuchalis,,RNSA
sphyrapicus-ruber,redbreastedsapsucker,rebsap,redbreastedsapsucker,sphyrapicus-ruber,,RBSA
picoides-dorsalis,americanthreetoedwoodpecker,attwoo1,americanthreetoedwoodpecker,picoides-dorsalis,,ATTW
picoides-arcticus,blackbackedwoodpecker,bkbwoo,blackbackedwoodpecker,picoides-arcticus,,BBWO
dryobates-pubescens,downywoodpecker,dowwoo,downywoodpecker,dryobates-pubescens,,
dryobates-scalaris,ladderbackedwoodpecker,labwoo,ladderbackedwoodpecker,dryobates-scalaris,,
leuconotopicus-borealis,redcockadedwoodpecker,recwoo,redcockadedwoodpecker,leuconotopicus-borealis,"Same species, different scientific name",
leuconotopicus-villosus,hairywoodpecker,haiwoo,hairywoodpecker,leuconotopicus-villosus,"Same species, different scientific name",
colaptes-auratus,northernflicker,norfli,northernflicker,colaptes-auratus,,NOFL
dryocopus-pileatus,pileatedwoodpecker,pilwoo,pileatedwoodpecker,dryocopus-pileatus,,PIWO
falco-sparverius,americankestrel,amekes,americankestrel,falco-sparverius,,AMKE
falco-columbarius,merlin,merlin,merlin,falco-columbarius,,MERL
falco-peregrinus,peregrinefalcon,perfal,peregrinefalcon,falco-peregrinus,,PEFA
myiopsitta-monachus,monkparakeet,monpar,monkparakeet,myiopsitta-monachus,,MOPA
psittacula-krameri,roseringedparakeet,rorpar,roseringedparakeet,psittacula-krameri,,RRPA
agapornis-roseicollis,rosyfacedlovebird,peflov,rosyfacedlovebird,agapornis-roseicollis,,RFLO
camptostoma-imberbe,northernbeardlesstyrannulet,nobtyr,northernbeardlesstyrannulet,camptostoma-imberbe,,NOBT
myiarchus-tuberculifer,duskycappedflycatcher,ducfly,duskycappedflycatcher,myiarchus-tuberculifer,,DCFL
myiarchus-cinerascens,ashthroatedflycatcher,astfly,ashthroatedflycatcher,myiarchus-cinerascens,,ATFL
myiarchus-crinitus,greatcrestedflycatcher,grcfly,greatcrestedflycatcher,myiarchus-crinitus,,GCFL
myiarchus-tyrannulus,browncrestedflycatcher,bncfly,browncrestedflycatcher,myiarchus-tyrannulus,,BCFL
pitangus-sulphuratus,greatkiskadee,grekis,greatkiskadee,pitangus-sulphuratus,,GKIS
myiodynastes-luteiventris,sulphurbelliedflycatcher,subfly,sulphurbelliedflycatcher,myiodynastes-luteiventris,,SBFL
tyrannus-melancholicus,tropicalkingbird,trokin,tropicalkingbird,tyrannus-melancholicus,,TRKI
tyrannus-couchii,couchskingbird,coukin,couchskingbird,tyrannus-couchii,,COKI
tyrannus-vociferans,cassinskingbird,caskin,cassinskingbird,tyrannus-vociferans,,CAKI
tyrannus-crassirostris,thickbilledkingbird,thbkin,thickbilledkingbird,tyrannus-crassirostris,,TBKI
tyrannus-verticalis,westernkingbird,weskin,westernkingbird,tyrannus-verticalis,,WEKI
tyrannus-tyrannus,easternkingbird,easkin,easternkingbird,tyrannus-tyrannus,,EAKI
tyrannus-dominicensis,graykingbird,grykin,graykingbird,tyrannus-dominicensis,,GRAK
tyrannus-forficatus,scissortailedflycatcher,sctfly,scissortailedflycatcher,tyrannus-forficatus,,STFL
contopus-cooperi,olivesidedflycatcher,olsfly,olivesidedflycatcher,contopus-cooperi,,OSFL
contopus-pertinax,greaterpewee,grepew,greaterpewee,contopus-pertinax,,GRPE
contopus-sordidulus,westernwoodpewee,wewpew,westernwoodpewee,contopus-sordidulus,,WEWP
contopus-virens,easternwoodpewee,eawpew,easternwoodpewee,contopus-virens,,EAWP
empidonax-flaviventris,yellowbelliedflycatcher,yebfly,yellowbelliedflycatcher,empidonax-flaviventris,,YBFL
empidonax-virescens,acadianflycatcher,acafly,acadianflycatcher,empidonax-virescens,,ACFL
empidonax-alnorum,alderflycatcher,aldfly,alderflycatcher,empidonax-alnorum,,ALFL
empidonax-traillii,willowflycatcher,wilfly,willowflycatcher,empidonax-traillii,,WIFL
empidonax-minimus,leastflycatcher,leafly,leastflycatcher,empidonax-minimus,,LEFL
empidonax-hammondii,hammondsflycatcher,hamfly,hammondsflycatcher,empidonax-hammondii,,HAFL
empidonax-wrightii,americangrayflycatcher,gryfly,grayflycatcher,empidonax-wrightii,"Same species, different common name",GRFL
empidonax-oberholseri,americanduskyflycatcher,dusfly,duskyflycatcher,empidonax-oberholseri,"Same species, different common name",DUFL
empidonax-difficilis,pacificslopeflycatcher,pasfly,pacificslopeflycatcher,empidonax-difficilis,,PSFL
empidonax-occidentalis,cordilleranflycatcher,corfly,cordilleranflycatcher,empidonax-occidentalis,,COFL
empidonax-fulvifrons,buffbreastedflycatcher,bubfly,buffbreastedflycatcher,empidonax-fulvifrons,,BBFL
sayornis-nigricans,blackphoebe,blkpho,blackphoebe,sayornis-nigricans,,BLPH
sayornis-phoebe,easternphoebe,easpho,easternphoebe,sayornis-phoebe,,EAPH
sayornis-saya,saysphoebe,saypho,saysphoebe,sayornis-saya,,SAPH
pyrocephalus-obscurus,vermilionflycatcher,verfly,vermilionflycatcher,pyrocephalus-obscurus,"Same species, different common name",
lanius-ludovicianus,loggerheadshrike,logshr,loggerheadshrike,lanius-ludovicianus,,LOSH
vireo-atricapilla,blackcappedvireo,bkcvir1,blackcappedvireo,vireo-atricapilla,,BCVI
vireo-griseus,whiteeyedvireo,whevir,whiteeyedvireo,vireo-griseus,,WEVI
vireo-bellii,bellsvireo,belvir,bellsvireo,vireo-bellii,,BEVI
vireo-vicinior,grayvireo,gryvir,grayvireo,vireo-vicinior,,GRVI
vireo-huttoni,huttonsvireo,hutvir,huttonsvireo,vireo-huttoni,,HUVI
vireo-flavifrons,yellowthroatedvireo,yetvir,yellowthroatedvireo,vireo-flavifrons,,YTVI
vireo-cassinii,cassinsvireo,casvir,cassinsvireo,vireo-cassinii,,CAVI
vireo-solitarius,blueheadedvireo,buhvir,blueheadedvireo,vireo-solitarius,,BHVI
vireo-plumbeus,plumbeousvireo,plsvir,plumbeousvireo,vireo-plumbeus,,PLVI
vireo-philadelphicus,philadelphiavireo,phivir,philadelphiavireo,vireo-philadelphicus,,PHVI
vireo-gilvus,warblingvireo,warvir,warblingvireo,vireo-gilvus,,WAVI
vireo-olivaceus,redeyedvireo,reevir1,redeyedvireo,vireo-olivaceus,,REVI
vireo-altiloquus,blackwhiskeredvireo,bkwvir,blackwhiskeredvireo,vireo-altiloquus,,BWVI
perisoreus-canadensis,grayjay,gryjay,canadajay,perisoreus-canadensis,"Same species, different common name",GRAJ
cyanocorax-luxuosus,greenjay,grnjay,greenjay,cyanocorax-luxuosus,"Same species, different scientific name",
gymnorhinus-cyanocephalus,pinyonjay,pinjay,pinyonjay,gymnorhinus-cyanocephalus,,PIJA
cyanocitta-stelleri,stellersjay,stejay,stellersjay,cyanocitta-stelleri,,STJA
cyanocitta-cristata,bluejay,blujay,bluejay,cyanocitta-cristata,,BLJA
aphelocoma-californica,californiascrubjay,cowscj1,californiascrubjay,aphelocoma-californica,,CASJ
aphelocoma-woodhouseii,woodhousesscrubjay,wooscj2,woodhousesscrubjay,aphelocoma-woodhouseii,,WOSJ
aphelocoma-wollweberi,mexicanjay,mexjay4,mexicanjay,aphelocoma-wollweberi,,MEJA
nucifraga-columbiana,clarksnutcracker,clanut,clarksnutcracker,nucifraga-columbiana,,CLNU
pica-hudsonia,blackbilledmagpie,bkbmag1,blackbilledmagpie,pica-hudsonia,,BBMA
pica-nuttalli,yellowbilledmagpie,yebmag,yellowbilledmagpie,pica-nuttalli,,YBMA
corvus-brachyrhynchos,americancrow,amecro,americancrow,corvus-brachyrhynchos,,AMCR
corvus-caurinus,northwesterncrow,norcro,northwesterncrow,corvus-caurinus,,NOCR
corvus-ossifragus,fishcrow,fiscro,fishcrow,corvus-ossifragus,,FICR
corvus-corax,northernraven,comrav,commonraven,corvus-corax,"Same species, different common name",CORA
alauda-arvensis,eurasianskylark,skylar,eurasianskylark,alauda-arvensis,,EUSK
eremophila-alpestris,hornedlark,horlar,hornedlark,eremophila-alpestris,,HOLA
progne-subis,purplemartin,purmar,purplemartin,progne-subis,,PUMA
tachycineta-bicolor,treeswallow,treswa,treeswallow,tachycineta-bicolor,,TRES
tachycineta-thalassina,violetgreenswallow,vigswa,violetgreenswallow,tachycineta-thalassina,,VGSW
riparia-riparia,sandmartin,banswa,bankswallow,riparia-riparia,"Same species, different common name",BANS
petrochelidon-pyrrhonota,americancliffswallow,cliswa,cliffswallow,petrochelidon-pyrrhonota,"Same species, different common name",CLSW
petrochelidon-fulva,caveswallow,cavswa,caveswallow,petrochelidon-fulva,,CASW
hirundo-rustica,barnswallow,barswa,barnswallow,hirundo-rustica,,BARS
poecile-carolinensis,carolinachickadee,carchi,carolinachickadee,poecile-carolinensis,,CACH
poecile-atricapillus,blackcappedchickadee,bkcchi,blackcappedchickadee,poecile-atricapillus,,BCCH
poecile-gambeli,mountainchickadee,mouchi,mountainchickadee,poecile-gambeli,,MOCH
poecile-sclateri,mexicanchickadee,mexchi,mexicanchickadee,poecile-sclateri,,MECH
poecile-rufescens,chestnutbackedchickadee,chbchi,chestnutbackedchickadee,poecile-rufescens,,CBCH
poecile-hudsonicus,borealchickadee,borchi2,borealchickadee,poecile-hudsonicus,,BOCH
baeolophus-wollweberi,bridledtitmouse,britit,bridledtitmouse,baeolophus-wollweberi,,BRTI
baeolophus-inornatus,oaktitmouse,oaktit,oaktitmouse,baeolophus-inornatus,,OATI
baeolophus-ridgwayi,junipertitmouse,juntit1,junipertitmouse,baeolophus-ridgwayi,,JUTI
baeolophus-bicolor,tuftedtitmouse,tuftit,tuftedtitmouse,baeolophus-bicolor,,TUTI
baeolophus-atricristatus,blackcrestedtitmouse,blctit4,blackcrestedtitmouse,baeolophus-atricristatus,,BCTI
auriparus-flaviceps,verdin,verdin,verdin,auriparus-flaviceps,,VERD
psaltriparus-minimus,americanbushtit,bushti,bushtit,psaltriparus-minimus,"Same species, different common name",BUSH
sitta-canadensis,redbreastednuthatch,rebnut,redbreastednuthatch,sitta-canadensis,,RBNU
sitta-carolinensis,whitebreastednuthatch,whbnut,whitebreastednuthatch,sitta-carolinensis,,WBNU
sitta-pygmaea,pygmynuthatch,pygnut,pygmynuthatch,sitta-pygmaea,,PYNU
sitta-pusilla,brownheadednuthatch,bnhnut,brownheadednuthatch,sitta-pusilla,,BHNU
certhia-americana,browncreeper,brncre,browncreeper,certhia-americana,,BRCR
salpinctes-obsoletus,rockwren,rocwre,rockwren,salpinctes-obsoletus,,ROWR
catherpes-mexicanus,canyonwren,canwre,canyonwren,catherpes-mexicanus,,CANW
troglodytes-aedon,housewren,houwre,housewren,troglodytes-aedon,,HOWR
troglodytes-pacificus,pacificwren,pacwre1,pacificwren,troglodytes-pacificus,,PAWR
troglodytes-hiemalis,winterwren,winwre3,winterwren,troglodytes-hiemalis,,WIWR
cistothorus-stellaris,sedgewren,sedwre,sedgewren,cistothorus-stellaris,"Same species, different scientific name",
cistothorus-palustris,marshwren,marwre,marshwren,cistothorus-palustris,,MAWR
thryothorus-ludovicianus,carolinawren,carwre,carolinawren,thryothorus-ludovicianus,,CARW
thryomanes-bewickii,bewickswren,bewwre,bewickswren,thryomanes-bewickii,,BEWR
campylorhynchus-brunneicapillus,cactuswren,cacwre,cactuswren,campylorhynchus-brunneicapillus,,CACW
polioptila-caerulea,bluegraygnatcatcher,buggna,bluegraygnatcatcher,polioptila-caerulea,,BGGN
polioptila-californica,californiagnatcatcher,calgna,californiagnatcatcher,polioptila-californica,,CAGN
polioptila-melanura,blacktailedgnatcatcher,bktgna,blacktailedgnatcatcher,polioptila-melanura,,BTGN
pycnonotus-cafer,redventedbulbul,revbul,redventedbulbul,pycnonotus-cafer,,RVBU
pycnonotus-jocosus,redwhiskeredbulbul,rewbul,redwhiskeredbulbul,pycnonotus-jocosus,,RWBU
regulus-satrapa,goldencrownedkinglet,gockin,goldencrownedkinglet,regulus-satrapa,,GCKI
regulus-calendula,rubycrownedkinglet,ruckin,rubycrownedkinglet,regulus-calendula,,RCKI
horornis-diphone,japanesebushwarbler,jabwar,japanesebushwarbler,horornis-diphone,,
phylloscopus-borealis,arcticwarbler,arcwar1,arcticwarbler,phylloscopus-borealis,,ARWA
chamaea-fasciata,wrentit,wrenti,wrentit,chamaea-fasciata,,WREN
zosterops-japonicus,warblingwhiteeye,jaweye,japanesewhiteeye,zosterops-japonicus,"Same species, different common name",JAWE
luscinia-svecica,bluethroat,blueth,bluethroat,luscinia-svecica,,BLUE
oenanthe-oenanthe,northernwheatear,norwhe,northernwheatear,oenanthe-oenanthe,,NOWH
sialia-sialis,easternbluebird,easblu,easternbluebird,sialia-sialis,,EABL
myadestes-townsendi,townsendssolitaire,towsol,townsendssolitaire,myadestes-townsendi,,TOSO
catharus-fuscescens,veery,veery,veery,catharus-fuscescens,,VEER
catharus-minimus,graycheekedthrush,gycthr,graycheekedthrush,catharus-minimus,,GCTH
catharus-bicknelli,bicknellsthrush,bicthr,bicknellsthrush,catharus-bicknelli,,BITH
catharus-ustulatus,swainsonsthrush,swathr,swainsonsthrush,catharus-ustulatus,,SWTH
catharus-guttatus,hermitthrush,herthr,hermitthrush,catharus-guttatus,,HETH
hylocichla-mustelina,woodthrush,woothr,woodthrush,hylocichla-mustelina,,WOTH
turdus-migratorius,americanrobin,amerob,americanrobin,turdus-migratorius,,AMRO
ixoreus-naevius,variedthrush,varthr,variedthrush,ixoreus-naevius,,VATH
dumetella-carolinensis,graycatbird,grycat,graycatbird,dumetella-carolinensis,,GRCA
toxostoma-curvirostre,curvebilledthrasher,cubthr,curvebilledthrasher,toxostoma-curvirostre,,CBTH
toxostoma-rufum,brownthrasher,brnthr,brownthrasher,toxostoma-rufum,,BRTH
toxostoma-longirostre,longbilledthrasher,lobthr,longbilledthrasher,toxostoma-longirostre,,LBTH
toxostoma-bendirei,bendiresthrasher,benthr,bendiresthrasher,toxostoma-bendirei,,BETH
toxostoma-redivivum,californiathrasher,calthr,californiathrasher,toxostoma-redivivum,,CATH
toxostoma-lecontei,lecontesthrasher,lecthr,lecontesthrasher,toxostoma-lecontei,,LCTH
toxostoma-crissale,crissalthrasher,crithr,crissalthrasher,toxostoma-crissale,,CRTH
oreoscoptes-montanus,sagethrasher,sagthr,sagethrasher,oreoscoptes-montanus,,SATH
mimus-polyglottos,northernmockingbird,normoc,northernmockingbird,mimus-polyglottos,,NOMO
sturnus-vulgaris,commonstarling,eursta,europeanstarling,sturnus-vulgaris,"Same species, different common name",EUST
acridotheres-tristis,commonmyna,commyn,commonmyna,acridotheres-tristis,,COMY
bombycilla-garrulus,bohemianwaxwing,bohwax,bohemianwaxwing,bombycilla-garrulus,,BOWA
bombycilla-cedrorum,cedarwaxwing,cedwax,cedarwaxwing,bombycilla-cedrorum,,CEDW
phainopepla-nitens,phainopepla,phaino,phainopepla,phainopepla-nitens,,PHAI
peucedramus-taeniatus,olivewarbler,oliwar,olivewarbler,peucedramus-taeniatus,,OLWA
