scientific,xc_common,bn_code,bn_common,bn_mapping_in_xc_dataset,relationship,ibp_alpha
junco-hyemalis,darkeyedjunco,daejun,darkeyedjunco,junco-hyemalis,,DEJU
junco-phaeonotus,yelloweyedjunco,yeejun,yelloweyedjunco,junco-phaeonotus,,YEJU
icteria-virens,yellowbreastedchat,yebcha,yellowbreastedchat,icteria-virens,,YBCH
xanthocephalus-xanthocephalus,yellowheadedblackbird,yehbla,yellowheadedblackbird,xanthocephalus-xanthocephalus,,YHBL
dolichonyx-oryzivorus,bobolink,boboli,bobolink,dolichonyx-oryzivorus,,BOBO
sturnella-magna,easternmeadowlark,easmea,easternmeadowlark,sturnella-magna,,EAME
sturnella-neglecta,westernmeadowlark,wesmea,westernmeadowlark,sturnella-neglecta,,WEME
icterus-spurius,orchardoriole,orcori,orchardoriole,icterus-spurius,,OROR
icterus-cucullatus,hoodedoriole,hooori,hoodedoriole,icterus-cucullatus,,HOOR
icterus-bullockii,bullocksoriole,bulori,bullocksoriole,icterus-bullockii,,BUOR
icterus-gularis,altamiraoriole,altori,altamiraoriole,icterus-gularis,,ALOR
icterus-graduacauda,audubonsoriole,audori,audubonsoriole,icterus-graduacauda,,AUOR
icterus-galbula,baltimoreoriole,balori,baltimoreoriole,icterus-galbula,,BAOR
icterus-parisorum,scottsoriole,scoori,scottsoriole,icterus-parisorum,,SCOR
agelaius-phoeniceus,redwingedblackbird,rewbla,redwingedblackbird,agelaius-phoeniceus,,RWBL
agelaius-tricolor,tricoloredblackbird,tribla,tricoloredblackbird,agelaius-tricolor,,TRBL
molothrus-ater,brownheadedcowbird,bnhcow,brownheadedcowbird,molothrus-ater,,BHCO
euphagus-carolinus,rustyblackbird,rusbla,rustyblackbird,euphagus-carolinus,,RUBL
euphagus-cyanocephalus,brewersblackbird,brebla,brewersblackbird,euphagus-cyanocephalus,,BRBL
quiscalus-quiscula,commongrackle,comgra,commongrackle,quiscalus-quiscula,,COGR
quiscalus-major,boattailedgrackle,botgra,boattailedgrackle,quiscalus-major,,BTGR
quiscalus-mexicanus,greattailedgrackle,grtgra,greattailedgrackle,quiscalus-mexicanus,,GTGR
seiurus-aurocapilla,ovenbird,ovenbi1,ovenbird,seiurus-aurocapilla,,OVEN
helmitheros-vermivorum,wormeatingwarbler,woewar1,wormeatingwarbler,helmitheros-vermivorum,,WEWA
parkesia-motacilla,louisianawaterthrush,louwat,louisianawaterthrush,parkesia-motacilla,,LOWA
parkesia-noveboracensis,northernwaterthrush,norwat,northernwaterthrush,parkesia-noveboracensis,,NOWA
vermivora-chrysoptera,goldenwingedwarbler,gowwar,goldenwingedwarbler,vermivora-chrysoptera,,GWWA
vermivora-cyanoptera,bluewingedwarbler,buwwar,bluewingedwarbler,vermivora-cyanoptera,,BWWA
mniotilta-varia,blackandwhitewarbler,bawwar,blackandwhitewarbler,mniotilta-varia,,BAWW
protonotaria-citrea,prothonotarywarbler,prowar,prothonotarywarbler,protonotaria-citrea,,PROW
limnothlypis-swainsonii,swainsonswarbler,swawar,swainsonswarbler,limnothlypis-swainsonii,,SWWA
leiothlypis-peregrina,tennesseewarbler,tenwar,tennesseewarbler,leiothlypis-peregrina,"Same species, different scientific name",
leiothlypis-celata,orangecrownedwarbler,orcwar,orangecrownedwarbler,leiothlypis-celata,"Same species, different scientific name",
leiothlypis-luciae,lucyswarbler,lucwar,lucyswarbler,leiothlypis-luciae,"Same species, different scientific name",
leiothlypis-ruficapilla,nashvillewarbler,naswar,nashvillewarbler,leiothlypis-ruficapilla,"Same species, different scientific name",
leiothlypis-virginiae,virginiaswarbler,virwar,virginiaswarbler,leiothlypis-virginiae,"Same species, different scientific name",
oporornis-agilis,connecticutwarbler,conwar,connecticutwarbler,oporornis-agilis,,CONW
geothlypis-tolmiei,macgillivrayswarbler,macwar,macgillivrayswarbler,geothlypis-tolmiei,,MGWA
geothlypis-philadelphia,mourningwarbler,mouwar,mourningwarbler,geothlypis-philadelphia,,MOWA
geothlypis-formosa,kentuckywarbler,kenwar,kentuckywarbler,geothlypis-formosa,,KEWA
geothlypis-trichas,commonyellowthroat,comyel,commonyellowthroat,geothlypis-trichas,,COYE
setophaga-citrina,hoodedwarbler,hoowar,hoodedwarbler,setophaga-citrina,,HOWA
setophaga-ruticilla,americanredstart,amered,americanredstart,setophaga-ruticilla,,AMRE
setophaga-kirtlandii,kirtlandswarbler,kirwar,kirtlandswarbler,setophaga-kirtlandii,,KIWA
